Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:05:25:328,-135.50404,-6.95103,-1.04240,-53.25450,0.08890,-0.54162,82.24043,7.03861,0.50025,0.00912,0.00132,0.00053,
07.10 11:05:25:382,-135.50937,-6.95189,-1.03949,-53.25483,0.08906,-0.54081,82.24043,7.03861,0.50025,0.01411,0.00235,-0.00158,
07.10 11:05:25:433,-135.50159,-6.94880,-1.03533,-53.25408,0.08670,-0.54155,82.24043,7.03861,0.50025,0.00709,-0.00311,-0.00647,
07.10 11:05:25:487,-135.50195,-6.94939,-1.03590,-53.25312,0.08324,-0.54523,82.24043,7.03861,0.50025,0.00840,-0.00598,-0.00958,
07.10 11:05:25:533,-135.50230,-6.95040,-1.03530,-53.25354,0.08117,-0.54219,82.24043,7.03861,0.50025,0.00834,-0.00705,-0.00715,
07.10 11:05:25:582,-135.50316,-6.94904,-1.03345,-53.25367,0.07960,-0.54341,82.24043,7.03861,0.50025,0.00906,-0.00998,-0.01021,
07.10 11:05:25:628,-135.52016,-6.94834,-1.03363,-53.25362,0.08061,-0.54280,82.24043,7.03861,0.50025,0.02612,-0.00966,-0.00942,
07.10 11:05:25:677,-135.52121,-6.94758,-1.03245,-53.25480,0.08221,-0.54289,82.24043,7.03861,0.50025,0.02598,-0.00883,-0.01069,
07.10 11:05:25:731,-135.48903,-6.94595,-1.03199,-53.25507,0.08110,-0.54391,82.24043,7.03861,0.50025,-0.00646,-0.01156,-0.01217,
07.10 11:05:25:785,-135.46509,-6.94683,-1.03083,-53.25328,0.08189,-0.54259,82.24043,7.03861,0.50025,-0.02862,-0.00988,-0.01202,
07.10 11:05:25:831,-135.44398,-6.94807,-1.03068,-53.25245,0.07731,-0.54109,82.24043,7.03861,0.50025,-0.04889,-0.01324,-0.01066,
07.10 11:05:25:882,-135.45967,-6.94641,-1.03025,-53.25237,0.07504,-0.54276,82.24043,7.03861,0.50025,-0.03312,-0.01716,-0.01276,
07.10 11:05:25:932,-135.45163,-6.94348,-1.02889,-53.25383,0.07743,-0.54235,82.24043,7.03861,0.50025,-0.04263,-0.01771,-0.01371,
07.10 11:05:25:982,-135.45569,-6.94456,-1.03111,-53.25471,0.08082,-0.54401,82.24043,7.03861,0.50025,-0.03945,-0.01323,-0.01316,
07.10 11:05:26:033,-135.47646,-6.94401,-1.03085,-53.25290,0.08070,-0.54548,82.24043,7.03861,0.50025,-0.01687,-0.01390,-0.01489,
07.10 11:05:26:082,-135.45532,-6.94412,-1.03098,-53.25391,0.08242,-0.54294,82.24043,7.03861,0.50025,-0.03901,-0.01207,-0.01222,
07.10 11:05:26:131,-135.43336,-6.94638,-1.03027,-53.25296,0.08072,-0.54288,82.24043,7.03861,0.50025,-0.06002,-0.01151,-0.01287,
07.10 11:05:26:161,-135.42615,-6.94985,-1.02777,-53.25245,0.07745,-0.54436,82.24043,7.03861,0.50025,-0.06672,-0.01131,-0.01685,
07.10 11:05:26:215,-135.41881,-6.94863,-1.02752,-53.25352,0.08041,-0.54396,82.24043,7.03861,0.50025,-0.07514,-0.00958,-0.01670,
07.10 11:05:26:265,-135.46162,-6.94736,-1.02696,-53.25243,0.08040,-0.54261,82.24043,7.03861,0.50025,-0.03123,-0.01086,-0.01590,
07.10 11:05:26:312,-135.43660,-6.94579,-1.02619,-53.25359,0.07917,-0.54083,82.24043,7.03861,0.50025,-0.05741,-0.01365,-0.01489,
07.10 11:05:26:363,-135.43094,-6.94624,-1.02285,-53.25217,0.08180,-0.54042,82.24043,7.03861,0.50025,-0.06165,-0.01058,-0.01782,
07.10 11:05:26:414,-135.45213,-6.94551,-1.01962,-53.25053,0.07963,-0.54142,82.24043,7.03861,0.50025,-0.03883,-0.01348,-0.02205,
07.10 11:05:26:462,-135.44930,-6.94424,-1.01689,-53.25104,0.07765,-0.53905,82.24043,7.03861,0.50025,-0.04217,-0.01672,-0.02241,
07.10 11:05:26:518,-135.44502,-6.94462,-1.01565,-53.25220,0.07681,-0.53940,82.24043,7.03861,0.50025,-0.04760,-0.01719,-0.02401,
07.10 11:05:26:567,-135.40111,-6.94067,-1.01486,-53.25355,0.08096,-0.53948,82.24043,7.03861,0.50025,-0.09287,-0.01698,-0.02487,
07.10 11:05:26:615,-135.38992,-6.94191,-1.01350,-53.25176,0.08094,-0.53915,82.24043,7.03861,0.50025,-0.10226,-0.01576,-0.02590,
07.10 11:05:26:664,-135.39232,-6.94185,-1.01193,-53.25326,0.08001,-0.53883,82.24043,7.03861,0.50025,-0.10136,-0.01676,-0.02715,
07.10 11:05:26:697,-135.38742,-6.94042,-1.01192,-53.25335,0.08341,-0.53969,82.24043,7.03861,0.50025,-0.10636,-0.01479,-0.02802,
07.10 11:05:26:748,-135.40961,-6.94017,-1.00998,-53.25259,0.08293,-0.53920,82.24043,7.03861,0.50025,-0.08341,-0.01551,-0.02947,
07.10 11:05:26:799,-135.41409,-6.93857,-1.01068,-53.25371,0.07980,-0.53752,82.24043,7.03861,0.50025,-0.08004,-0.02024,-0.02710,
07.10 11:05:26:849,-135.42302,-6.93754,-1.00929,-53.25276,0.07922,-0.53778,82.24043,7.03861,0.50025,-0.07017,-0.02186,-0.02874,
07.10 11:05:26:899,-135.43712,-6.93670,-1.00623,-53.25240,0.07798,-0.53897,82.24043,7.03861,0.50025,-0.05570,-0.02393,-0.03299,
07.10 11:05:26:950,-135.40828,-6.93403,-1.00299,-53.25113,0.07650,-0.54053,82.24043,7.03861,0.50025,-0.08327,-0.02809,-0.03779,
07.10 11:05:27:001,-135.41408,-6.93630,-1.00127,-53.25098,0.07607,-0.53998,82.24043,7.03861,0.50025,-0.07732,-0.02624,-0.03897,
07.10 11:05:27:053,-135.37509,-6.93540,-0.99951,-53.25170,0.07795,-0.53985,82.24043,7.03861,0.50025,-0.11703,-0.02526,-0.04059,
07.10 11:05:27:100,-135.35710,-6.93388,-1.00039,-53.25151,0.07820,-0.54022,82.24043,7.03861,0.50025,-0.13483,-0.02653,-0.04009,
07.10 11:05:27:145,-135.35368,-6.93207,-0.99794,-53.25024,0.07569,-0.54097,82.24043,7.03861,0.50025,-0.13699,-0.03085,-0.04328,
07.10 11:05:27:198,-135.32298,-6.93349,-0.99822,-53.25385,0.07713,-0.54114,82.24043,7.03861,0.50025,-0.17129,-0.02800,-0.04317,
07.10 11:05:27:249,-135.29048,-6.93491,-0.99564,-53.25457,0.07605,-0.54296,82.24043,7.03861,0.50025,-0.20452,-0.02766,-0.04758,
07.10 11:05:27:298,-135.30830,-6.93528,-0.99503,-53.25297,0.07455,-0.54278,82.24043,7.03861,0.50025,-0.18510,-0.02878,-0.04800,
07.10 11:05:27:347,-135.30969,-6.93644,-0.99557,-53.25376,0.07672,-0.54182,82.24043,7.03861,0.50025,-0.18449,-0.02545,-0.04650,
07.10 11:05:27:381,-135.29312,-6.93604,-0.99374,-53.25476,0.07805,-0.54214,82.24043,7.03861,0.50025,-0.20206,-0.02453,-0.04865,
07.10 11:05:27:432,-135.28485,-6.93782,-0.99576,-53.25370,0.07856,-0.54416,82.24043,7.03861,0.50025,-0.20927,-0.02224,-0.04865,
07.10 11:05:27:481,-135.31558,-6.93671,-0.99587,-53.25642,0.07840,-0.54314,82.24043,7.03861,0.50025,-0.18127,-0.02350,-0.04753,
07.10 11:05:27:531,-135.33351,-6.93522,-0.99550,-53.25640,0.08057,-0.54487,82.24043,7.03861,0.50025,-0.16332,-0.02282,-0.04962,
07.10 11:05:27:585,-135.30746,-6.93569,-0.99539,-53.25726,0.07540,-0.54629,82.24043,7.03861,0.50025,-0.19022,-0.02753,-0.05114,
07.10 11:05:27:632,-135.34857,-6.93573,-0.99534,-53.25903,0.07778,-0.55115,82.24043,7.03861,0.50025,-0.15089,-0.02509,-0.05606,
07.10 11:05:27:683,-135.34373,-6.93346,-0.99450,-53.25834,0.07578,-0.55154,82.24043,7.03861,0.50025,-0.15503,-0.02937,-0.05729,
07.10 11:05:27:731,-135.37035,-6.93100,-0.99459,-53.25813,0.07775,-0.55407,82.24043,7.03861,0.50025,-0.12821,-0.02986,-0.05973,
