Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,
06.17 10:59:00,79845,0.50757,0.16281,9.86411,-0.00639,0.00000,0.00533,4.03748,4.03748,28.56140,1.19344,20.01227,-1.94556,-0.98456,-0.01320,0.01491,-0.17389,
06.17 10:59:00,79846,0.49799,0.17238,9.86890,-0.00639,-0.00213,0.00639,2.99072,5.08423,30.20630,1.19390,19.68728,-1.94897,-0.98504,-0.01317,0.01498,-0.17109,
06.17 10:59:00,79847,0.50278,0.18675,9.86890,-0.00746,-0.00320,0.00426,2.99072,3.88794,29.01001,1.19349,19.19102,-1.95322,-0.98577,-0.01311,0.01507,-0.16682,
06.17 10:59:00,79848,0.50757,0.19154,9.86411,-0.00852,-0.00213,0.00639,2.99072,3.88794,29.01001,1.19212,18.69412,-1.95779,-0.98649,-0.01304,0.01517,-0.16256,
06.17 10:59:00,79849,0.50757,0.18675,9.86411,-0.01278,-0.00213,0.00639,1.64490,3.43933,29.75769,1.18985,18.58779,-1.96115,-0.98664,-0.01301,0.01521,-0.16164,
06.17 10:59:00,79850,0.52672,0.17238,9.86890,-0.00852,-0.00107,0.00746,2.09351,3.28979,29.01001,1.18800,18.29423,-1.96502,-0.98704,-0.01296,0.01528,-0.15911,
06.17 10:59:00,79851,0.53151,0.17717,9.85932,-0.00746,0.00000,0.00639,2.24304,4.63562,28.86047,1.18753,18.09726,-1.96884,-0.98731,-0.01293,0.01534,-0.15741,
06.17 10:59:00,79852,0.52672,0.16759,9.86890,-0.00959,-0.00213,0.00533,2.39258,3.58887,29.30908,1.18608,17.74470,-1.97230,-0.98779,-0.01288,0.01541,-0.15437,
06.17 10:59:00,79853,0.51236,0.16759,9.85453,-0.00852,-0.00107,0.00533,2.84119,3.73840,28.56140,1.18427,17.26327,-1.97629,-0.98845,-0.01280,0.01550,-0.15023,
06.17 10:59:00,79854,0.52194,0.16759,9.85453,-0.01065,0.00000,0.00639,3.88794,5.98145,29.30908,1.18165,16.83679,-1.98047,-0.98898,-0.01273,0.01559,-0.14654,
06.17 10:59:00,79855,0.53630,0.16281,9.86890,-0.00639,-0.00107,0.00533,4.33655,3.43933,29.15955,1.17987,15.92245,-1.98395,-0.99013,-0.01259,0.01572,-0.13865,
06.17 10:59:00,79856,0.52194,0.16281,9.86411,-0.00852,-0.00213,0.00746,4.33655,3.43933,29.15955,1.17967,15.00594,-1.98838,-0.99120,-0.01247,0.01586,-0.13072,
06.17 10:59:00,79857,0.51715,0.16281,9.86411,-0.01065,0.00107,0.00533,2.84119,4.93469,29.45862,1.17811,14.69593,-1.99123,-0.99155,-0.01242,0.01592,-0.12804,
06.17 10:59:00,79858,0.51715,0.16759,9.86890,-0.00639,0.00000,0.00426,2.84119,4.93469,29.15955,1.17680,14.38300,-1.99367,-0.99191,-0.01236,0.01597,-0.12534,
06.17 10:59:00,79859,0.52672,0.17238,9.87369,-0.00746,0.00000,0.00533,0.89722,3.28979,29.30908,1.17623,14.62362,-1.99725,-0.99163,-0.01240,0.01598,-0.12742,
06.17 10:59:00,79860,0.52672,0.18196,9.86890,-0.00746,-0.00213,0.00746,2.39258,3.58887,27.81372,1.17587,14.25936,-2.00043,-0.99203,-0.01235,0.01605,-0.12426,
06.17 10:59:00,79861,0.52194,0.17717,9.87369,-0.00959,0.00000,0.00426,2.39258,3.58887,27.81372,1.17383,13.89542,-2.00406,-0.99241,-0.01228,0.01612,-0.12111,
06.17 10:59:00,79862,0.51236,0.17238,9.86890,-0.00852,-0.00107,0.00426,1.19629,4.78516,28.41187,1.17255,14.01079,-2.00609,-0.99229,-0.01229,0.01613,-0.12211,
06.17 10:59:00,79863,0.51715,0.17238,9.86411,-0.00852,-0.00107,0.00639,2.24304,3.43933,28.86047,1.17159,13.68616,-2.00921,-0.99263,-0.01224,0.01619,-0.11930,
06.17 10:59:00,79864,0.50757,0.16759,9.86890,-0.00320,0.00000,0.00746,2.24304,3.43933,28.86047,1.17143,13.36334,-2.01294,-0.99297,-0.01219,0.01626,-0.11650,
06.17 10:59:00,79865,0.51715,0.18196,9.86890,-0.00639,0.00000,0.00639,4.78516,4.18701,29.30908,1.17221,12.50740,-2.01549,-0.99381,-0.01208,0.01637,-0.10908,
06.17 10:59:00,79866,0.51715,0.18675,9.85453,-0.00959,0.00000,0.00639,2.39258,4.48608,26.91650,1.17103,12.25112,-2.01846,-0.99405,-0.01204,0.01642,-0.10686,
06.17 10:59:00,79867,0.50278,0.18675,9.86890,-0.00959,0.00107,0.00533,1.94397,5.23376,29.15955,1.16871,12.17412,-2.02099,-0.99412,-0.01201,0.01645,-0.10619,
06.17 10:59:00,79868,0.52194,0.18196,9.84975,-0.00639,-0.00533,0.00426,2.39258,4.48608,29.90723,1.16819,11.93935,-2.02497,-0.99434,-0.01197,0.01651,-0.10416,
06.17 10:59:00,79869,0.51715,0.17238,9.87369,-0.00746,0.00320,0.00426,2.39258,4.48608,29.90723,1.16764,11.70470,-2.02882,-0.99456,-0.01194,0.01657,-0.10212,
06.17 10:59:00,79870,0.51236,0.17238,9.85932,-0.00959,-0.00213,0.00533,4.78516,4.48608,29.01001,1.16612,10.89465,-2.03053,-0.99524,-0.01181,0.01667,-0.09508,
06.17 10:59:00,79871,0.51236,0.14365,9.86890,-0.01491,0.00213,0.00533,3.73840,4.33655,30.65491,1.16193,10.27994,-2.03347,-0.99575,-0.01169,0.01676,-0.08975,
06.17 10:59:00,79872,0.50757,0.15323,9.84975,-0.00852,0.00000,0.00426,3.73840,4.33655,30.65491,1.16004,9.66469,-2.03527,-0.99620,-0.01158,0.01684,-0.08440,
06.17 10:59:00,79873,0.51236,0.13886,9.87848,-0.00746,-0.00107,0.00320,2.84119,3.73840,29.75769,1.15834,9.18807,-2.03842,-0.99655,-0.01150,0.01692,-0.08025,
06.17 10:59:00,79874,0.50278,0.15323,9.87848,-0.00320,0.00000,0.00639,2.09351,3.58887,28.41187,1.15995,8.93634,-2.04025,-0.99673,-0.01148,0.01696,-0.07807,
06.17 10:59:00,79875,0.52672,0.16759,9.87369,-0.01172,-0.00107,0.00852,3.58887,3.88794,29.30908,1.15923,8.26600,-2.04425,-0.99716,-0.01137,0.01706,-0.07223,
06.17 10:59:00,79876,0.52672,0.16281,9.86411,-0.01278,0.00107,0.00533,2.09351,4.48608,28.71094,1.15622,8.10042,-2.04638,-0.99726,-0.01132,0.01710,-0.07079,
06.17 10:59:00,79877,0.52194,0.14844,9.86411,-0.01065,0.00000,0.00426,2.09351,4.48608,28.71094,1.15312,7.93450,-2.04937,-0.99736,-0.01127,0.01714,-0.06935,
06.17 10:59:00,79878,0.53151,0.15323,9.85932,-0.00533,0.00107,0.00426,2.69165,4.48608,30.20630,1.15274,7.62054,-2.05138,-0.99756,-0.01122,0.01719,-0.06662,
