Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.19 15:15:23,2383067,0.37828,0.41659,9.87369,-0.00852,-0.00213,0.00426,35.44006,-3.73840,30.05676,2.84379,59.78967,-1.61750,0.86640,0.02854,0.00013,0.49851,0,0,
06.19 15:15:23,2383068,0.37828,0.41659,9.87369,-0.00852,-0.00320,0.00426,34.84192,-4.63562,32.44934,2.84369,59.78825,-1.61742,0.86641,0.02854,0.00013,0.49850,0,0,
06.19 15:15:23,2383069,0.37828,0.42138,9.87369,-0.00959,-0.00320,0.00533,34.84192,-4.63562,32.44934,2.84348,59.78691,-1.61735,0.86642,0.02854,0.00013,0.49849,0,0,
06.19 15:15:23,2383070,0.37828,0.42138,9.87369,-0.00852,-0.00320,0.00533,34.84192,-4.63562,32.44934,2.84337,59.78559,-1.61727,0.86642,0.02854,0.00013,0.49848,0,0,
06.19 15:15:23,2383071,0.37828,0.42138,9.87369,-0.00852,-0.00320,0.00533,34.84192,-4.63562,32.44934,2.84327,59.78430,-1.61720,0.86643,0.02854,0.00013,0.49847,0,0,
06.19 15:15:23,2383072,0.37828,0.42138,9.87369,-0.00959,-0.00213,0.00533,34.84192,-4.63562,32.44934,2.84306,59.78297,-1.61702,0.86643,0.02854,0.00013,0.49846,0,0,
06.19 15:15:23,2383073,0.37828,0.42138,9.87369,-0.00959,-0.00320,0.00533,34.84192,-4.63562,32.44934,2.84285,59.78167,-1.61694,0.86644,0.02853,0.00013,0.49845,0,0,
06.19 15:15:23,2383074,0.37828,0.42138,9.87848,-0.00852,-0.00320,0.00533,35.44006,-1.64490,31.55212,2.84274,59.78257,-1.61687,0.86644,0.02853,0.00013,0.49846,0,0,
06.19 15:15:23,2383075,0.37828,0.42138,9.87848,-0.00746,-0.00320,0.00426,35.44006,-1.64490,31.55212,2.84275,59.78337,-1.61679,0.86643,0.02853,0.00013,0.49846,0,0,
06.19 15:15:23,2383076,0.37828,0.42138,9.87848,-0.00852,-0.00320,0.00426,35.44006,-1.64490,31.55212,2.84265,59.78418,-1.61671,0.86643,0.02853,0.00013,0.49847,0,0,
06.19 15:15:23,2383077,0.37828,0.42138,9.87848,-0.00746,-0.00320,0.00426,35.44006,-1.64490,31.55212,2.84266,59.78498,-1.61663,0.86643,0.02853,0.00013,0.49848,0,0,
06.19 15:15:23,2383078,0.37828,0.42617,9.87369,-0.00852,-0.00426,0.00426,35.44006,-1.64490,31.55212,2.84256,59.78579,-1.61666,0.86642,0.02853,0.00013,0.49848,0,0,
06.19 15:15:23,2383079,0.37828,0.42138,9.87369,-0.00746,-0.00426,0.00533,35.88867,-2.39258,30.80444,2.84256,59.78624,-1.61669,0.86642,0.02853,0.00013,0.49849,0,0,
06.19 15:15:23,2383080,0.38307,0.42138,9.87369,-0.00746,-0.00426,0.00533,35.88867,-2.39258,30.80444,2.84256,59.78668,-1.61672,0.86642,0.02853,0.00013,0.49849,0,0,
06.19 15:15:23,2383081,0.38307,0.42617,9.87369,-0.00746,-0.00426,0.00639,35.88867,-2.39258,30.80444,2.84256,59.78724,-1.61676,0.86642,0.02853,0.00013,0.49849,0,0,
06.19 15:15:23,2383082,0.38307,0.42617,9.87369,-0.00746,-0.00426,0.00639,35.88867,-2.39258,30.80444,2.84256,59.78780,-1.61680,0.86641,0.02853,0.00013,0.49850,0,0,
06.19 15:15:23,2383083,0.38307,0.42138,9.87369,-0.00746,-0.00533,0.00533,35.88867,-2.39258,30.80444,2.84256,59.78825,-1.61693,0.86641,0.02853,0.00013,0.49850,0,0,
