Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
06.30 14:42:38:718,95984,0.17238,-0.05267,9.80665,-0.00065,-0.00066,0.00063,-1.01442,8.68429,-30.25413,-0.28406,136.52382,-0.87068,-0.37037,-0.00614,0.00512,-0.92885,-0.00012,0.00074,0.00015,-26.15374,0,1,
06.30 14:42:38:718,95985,0.17238,-0.05267,9.80665,0.00041,-0.00066,-0.00044,-1.01442,8.68429,-30.25413,-0.28406,136.52382,-0.87068,-0.37037,-0.00614,0.00512,-0.92885,-0.00012,0.00074,0.00015,-26.15374,0,1,
06.30 14:42:38:719,95986,0.17717,-0.05267,9.80665,0.00148,0.00040,-0.00044,-1.01442,8.68429,-30.25413,-0.28406,136.52382,-0.87068,-0.37037,-0.00614,0.00512,-0.92885,-0.00012,0.00074,0.00015,-26.15374,0,1,
06.30 14:42:38:731,95987,0.17717,-0.05267,9.80665,0.00148,0.00040,0.00063,-1.01442,8.68429,-30.25413,-0.28406,136.52382,-0.87068,-0.37037,-0.00614,0.00512,-0.92885,-0.00012,0.00074,0.00015,-26.15374,0,1,
06.30 14:42:38:731,95988,0.17717,-0.05267,9.80665,0.00041,-0.00066,0.00063,-1.01442,8.68429,-30.25413,-0.28406,136.52382,-0.87068,-0.37037,-0.00614,0.00512,-0.92885,-0.00012,0.00074,0.00015,-26.15374,0,1,
06.30 14:42:38:732,95989,0.17717,-0.05267,9.80186,0.00148,-0.00066,-0.00044,-1.01442,8.68429,-30.25413,-0.28406,136.52382,-0.87068,-0.37037,-0.00614,0.00512,-0.92885,-0.00012,0.00074,0.00015,-26.15374,0,1,
06.30 14:42:38:732,95990,0.17717,-0.05267,9.80186,0.00041,0.00040,-0.00044,-1.01509,9.91779,-31.48798,-0.28335,-58.34412,-0.87117,0.87310,-0.00586,-0.00543,-0.48744,-0.00012,0.00074,0.00015,-26.13888,0,1,
06.30 14:42:38:733,95991,0.17717,-0.05267,9.80186,0.00041,0.00040,-0.00044,-1.01509,9.91779,-31.48798,-0.28335,-58.34412,-0.87117,0.87310,-0.00586,-0.00543,-0.48744,-0.00012,0.00074,0.00015,-26.13888,0,1,
06.30 14:42:38:733,95993,0.17717,-0.05267,9.80186,0.00148,0.00040,-0.00044,-1.01509,9.91779,-31.48798,-0.28335,-58.34412,-0.87117,0.87310,-0.00586,-0.00543,-0.48744,-0.00012,0.00074,0.00015,-26.13888,0,1,
06.30 14:42:38:735,95994,0.17238,-0.04788,9.80186,0.00041,0.00147,-0.00150,-1.01509,9.91779,-31.48798,-0.28335,-58.34412,-0.87117,0.87310,-0.00586,-0.00543,-0.48744,-0.00012,0.00074,0.00015,-26.13888,0,1,
06.30 14:42:38:735,95995,0.17238,-0.04788,9.80186,0.00041,0.00040,-0.00150,-1.01509,9.91779,-31.48798,-0.28335,-58.34412,-0.87117,0.87310,-0.00586,-0.00543,-0.48744,-0.00012,0.00074,0.00015,-26.13888,0,1,
06.30 14:42:38:736,95996,0.17238,-0.04788,9.80665,0.00041,0.00040,-0.00150,0.21837,10.22423,-29.63843,-0.28276,131.97276,-0.87127,-0.40695,-0.00594,0.00535,-0.91341,-0.00012,0.00074,0.00015,-26.14175,0,1,
06.30 14:42:38:736,95997,0.17717,-0.05267,9.80665,-0.00065,0.00040,-0.00044,0.21837,10.22423,-29.63843,-0.28276,131.97276,-0.87127,-0.40695,-0.00594,0.00535,-0.91341,-0.00012,0.00074,0.00015,-26.14175,0,1,
06.30 14:42:38:736,95998,0.17717,-0.04788,9.80665,0.00041,-0.00066,-0.00044,0.21837,10.22423,-29.63843,-0.28276,131.97276,-0.87127,-0.40695,-0.00594,0.00535,-0.91341,-0.00012,0.00074,0.00015,-26.14175,0,1,
06.30 14:42:38:737,95999,0.17238,-0.04788,9.80665,0.00041,-0.00066,-0.00044,0.21837,10.22423,-29.63843,-0.28276,131.97276,-0.87127,-0.40695,-0.00594,0.00535,-0.91341,-0.00012,0.00074,0.00015,-26.14175,0,1,
06.30 14:42:38:737,96000,0.17238,-0.04310,9.80665,-0.00172,0.00040,-0.00150,0.21837,10.22423,-29.63843,-0.28276,131.97276,-0.87127,-0.40695,-0.00594,0.00535,-0.91341,-0.00012,0.00074,0.00015,-26.14175,0,1,
06.30 14:42:38:737,96001,0.16759,-0.04788,9.80665,-0.00065,0.00040,-0.00044,-0.86056,9.14719,-31.33337,-0.28286,-98.79015,-0.87165,0.65078,-0.00738,-0.00308,-0.75920,-0.00012,0.00074,0.00015,-26.13189,0,1,
06.30 14:42:38:738,96002,0.17238,-0.04310,9.80665,-0.00065,0.00147,-0.00044,-0.86056,9.14719,-31.33337,-0.28286,-98.79015,-0.87165,0.65078,-0.00738,-0.00308,-0.75920,-0.00012,0.00074,0.00015,-26.13189,0,1,
06.30 14:42:38:738,96003,0.17717,-0.04788,9.80665,0.00041,0.00040,0.00063,-0.86056,9.14719,-31.33337,-0.28286,-98.79015,-0.87165,0.65078,-0.00738,-0.00308,-0.75920,-0.00012,0.00074,0.00015,-26.13189,0,1,
06.30 14:42:38:739,96004,0.17238,-0.04788,9.80186,0.00041,0.00040,0.00063,-0.86056,9.14719,-31.33337,-0.28286,-98.79015,-0.87165,0.65078,-0.00738,-0.00308,-0.75920,-0.00012,0.00074,0.00015,-26.13189,0,1,
06.30 14:42:38:739,96005,0.17238,-0.04788,9.80186,0.00041,0.00147,0.00169,-0.86056,9.14719,-31.33337,-0.28286,-98.79015,-0.87165,0.65078,-0.00738,-0.00308,-0.75920,-0.00012,0.00074,0.00015,-26.13189,0,1,
06.30 14:42:38:739,96006,0.17238,-0.04788,9.80186,0.00041,0.00147,0.00063,-0.86056,9.14719,-31.33337,-0.28286,-98.79015,-0.87165,0.65078,-0.00738,-0.00308,-0.75920,-0.00012,0.00074,0.00015,-26.13189,0,1,
06.30 14:42:38:740,96007,0.17717,-0.04788,9.80665,-0.00065,0.00040,0.00169,-1.47753,9.76380,-31.33377,-0.28271,-135.07338,-0.87154,-0.38206,0.00797,0.00063,0.92410,-0.00012,0.00074,0.00015,-26.13188,0,1,
06.30 14:42:38:740,96008,0.17717,-0.04788,9.80665,-0.00065,0.00147,-0.00044,-1.47753,9.76380,-31.33377,-0.28271,-135.07338,-0.87154,-0.38206,0.00797,0.00063,0.92410,-0.00012,0.00074,0.00015,-26.13188,0,1,
06.30 14:42:38:741,96009,0.17717,-0.04788,9.80665,0.00041,0.00147,-0.00044,-1.47753,9.76380,-31.33377,-0.28271,-135.07338,-0.87154,-0.38206,0.00797,0.00063,0.92410,-0.00012,0.00074,0.00015,-26.13188,0,1,
06.30 14:42:38:741,96010,0.17717,-0.05267,9.80665,0.00041,0.00147,-0.00044,-1.47753,9.76380,-31.33377,-0.28271,-135.07338,-0.87154,-0.38206,0.00797,0.00063,0.92410,-0.00012,0.00074,0.00015,-26.13188,0,1,
06.30 14:42:38:742,96011,0.18196,-0.04788,9.80665,0.00041,0.00147,-0.00044,-1.47753,9.76380,-31.33377,-0.28271,-135.07338,-0.87154,-0.38206,0.00797,0.00063,0.92410,-0.00012,0.00074,0.00015,-26.13188,0,1,
06.30 14:42:38:742,96012,0.18196,-0.05267,9.80186,0.00041,0.00147,-0.00044,-1.47753,9.76380,-31.33377,-0.28271,-135.07338,-0.87154,-0.38206,0.00797,0.00063,0.92410,-0.00012,0.00074,0.00015,-26.13188,0,1,
06.30 14:42:38:742,96013,0.18196,-0.04788,9.80186,0.00148,0.00147,0.00063,0.98908,10.07131,-31.95039,-0.28233,149.52724,-0.87107,-0.26280,-0.00669,0.00437,-0.96480,-0.00012,0.00074,0.00015,-26.14252,0,1,
06.30 14:42:38:742,96014,0.18196,-0.05267,9.80186,0.00041,0.00147,0.00063,0.98908,10.07131,-31.95039,-0.28233,149.52724,-0.87107,-0.26280,-0.00669,0.00437,-0.96480,-0.00012,0.00074,0.00015,-26.14252,0,1,
06.30 14:42:38:743,96017,0.18196,-0.05267,9.80186,0.00041,0.00040,0.00063,0.98908,10.07131,-31.95039,-0.28233,149.52724,-0.87107,-0.26280,-0.00669,0.00437,-0.96480,-0.00012,0.00074,0.00015,-26.14252,0,1,
06.30 14:42:38:743,96018,0.17717,-0.05746,9.80186,0.00041,0.00147,0.00063,-1.01493,9.91679,-29.94658,-0.28202,-38.07925,-0.87104,0.94525,-0.00481,-0.00638,-0.32623,-0.00012,0.00074,0.00015,-26.17363,0,1,
06.30 14:42:38:744,96019,0.17717,-0.05746,9.80186,0.00041,0.00147,-0.00044,-1.01493,9.91679,-29.94658,-0.28202,-38.07925,-0.87104,0.94525,-0.00481,-0.00638,-0.32623,-0.00012,0.00074,0.00015,-26.17363,0,1,
06.30 14:42:38:744,96020,0.18196,-0.05267,9.80186,-0.00065,0.00147,0.00063,-1.01493,9.91679,-29.94658,-0.28202,-38.07925,-0.87104,0.94525,-0.00481,-0.00638,-0.32623,-0.00012,0.00074,0.00015,-26.17363,0,1,
06.30 14:42:38:744,96021,0.17717,-0.05746,9.80186,0.00041,0.00040,0.00063,-1.01493,9.91679,-29.94658,-0.28202,-38.07925,-0.87104,0.94525,-0.00481,-0.00638,-0.32623,-0.00012,0.00074,0.00015,-26.17363,0,1,
06.30 14:42:38:745,96022,0.17717,-0.05746,9.80186,0.00041,0.00147,-0.00044,-1.01493,9.91679,-29.94658,-0.28202,-38.07925,-0.87104,0.94525,-0.00481,-0.00638,-0.32623,-0.00012,0.00074,0.00015,-26.17363,0,1,
06.30 14:42:38:745,96023,0.17238,-0.05746,9.80186,0.00041,0.00147,0.00063,-1.01493,9.91679,-29.94658,-0.28202,-38.07925,-0.87104,0.94525,-0.00481,-0.00638,-0.32623,-0.00012,0.00074,0.00015,-26.17363,0,1,
06.30 14:42:38:745,96024,0.17238,-0.05746,9.80186,0.00041,0.00147,0.00169,-0.55219,8.83968,-32.56629,-0.28175,-6.40297,-0.87069,0.99839,-0.00288,-0.00745,-0.05587,-0.00012,0.00074,0.00015,-26.18866,0,1,
06.30 14:42:38:746,96025,0.17238,-0.05267,9.80186,-0.00065,0.00040,0.00169,-0.55219,8.83968,-32.56629,-0.28175,-6.40297,-0.87069,0.99839,-0.00288,-0.00745,-0.05587,-0.00012,0.00074,0.00015,-26.18866,0,1,
06.30 14:42:38:746,96026,0.17238,-0.05267,9.80186,0.00041,0.00040,0.00063,-0.55219,8.83968,-32.56629,-0.28175,-6.40297,-0.87069,0.99839,-0.00288,-0.00745,-0.05587,-0.00012,0.00074,0.00015,-26.18866,0,1,
06.30 14:42:38:746,96027,0.17238,-0.05267,9.80186,0.00041,0.00040,0.00063,-0.55219,8.83968,-32.56629,-0.28175,-6.40297,-0.87069,0.99839,-0.00288,-0.00745,-0.05587,-0.00012,0.00074,0.00015,-26.18866,0,1,
06.30 14:42:38:747,96028,0.16759,-0.05267,9.80665,-0.00065,0.00040,-0.00044,-0.55219,8.83968,-32.56629,-0.28175,-6.40297,-0.87069,0.99839,-0.00288,-0.00745,-0.05587,-0.00012,0.00074,0.00015,-26.18866,0,1,
06.30 14:42:38:747,96029,0.16759,-0.05267,9.80665,0.00041,-0.00066,-0.00150,-0.55219,8.83968,-32.56629,-0.28175,-6.40297,-0.87069,0.99839,-0.00288,-0.00745,-0.05587,-0.00012,0.00074,0.00015,-26.18866,0,1,
06.30 14:42:38:747,96030,0.17238,-0.05267,9.80665,0.00148,-0.00066,-0.00150,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:748,96031,0.17238,-0.05267,9.80665,0.00041,0.00040,-0.00044,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:748,96032,0.17238,-0.05267,9.80665,0.00041,-0.00066,-0.00044,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:748,96033,0.17238,-0.05267,9.80665,0.00041,0.00040,-0.00044,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:750,96034,0.17238,-0.05267,9.80665,0.00041,0.00040,-0.00044,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:750,96036,0.17717,-0.05746,9.80665,0.00041,0.00147,0.00063,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:751,96038,0.17717,-0.05746,9.80665,0.00041,0.00040,0.00063,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:751,96039,0.17717,-0.05746,9.80665,0.00041,0.00147,0.00063,0.21805,10.53360,-31.48829,-0.28148,-179.63713,-0.87112,0.00315,-0.00761,0.00243,-0.99995,-0.00012,0.00074,0.00015,-26.22482,0,1,
06.30 14:42:38:751,96042,0.17717,-0.05746,9.80665,-0.00065,0.00040,0.00063,0.98965,9.14579,-30.40844,-0.28080,92.34120,-0.87128,0.69248,0.00379,-0.00703,0.72137,-0.00012,0.00074,0.00014,-26.27032,0,1,
06.30 14:42:38:752,96043,0.18196,-0.05267,9.80186,0.00041,0.00040,-0.00044,0.98965,9.14579,-30.40844,-0.28080,92.34120,-0.87128,0.69248,0.00379,-0.00703,0.72137,-0.00012,0.00074,0.00014,-26.27032,0,1,
06.30 14:42:38:752,96045,0.18196,-0.05267,9.80186,0.00041,0.00040,0.00063,0.98965,9.14579,-30.40844,-0.28080,92.34120,-0.87128,0.69248,0.00379,-0.00703,0.72137,-0.00012,0.00074,0.00014,-26.27032,0,1,
06.30 14:42:38:753,96046,0.17717,-0.05267,9.79707,0.00041,0.00040,0.00063,0.98965,9.14579,-30.40844,-0.28080,92.34120,-0.87128,0.69248,0.00379,-0.00703,0.72137,-0.00012,0.00074,0.00014,-26.27032,0,1,
06.30 14:42:38:753,96047,0.17717,-0.05267,9.79707,0.00041,0.00040,0.00063,-0.55235,9.76260,-30.10061,-0.28054,129.71754,-0.87150,0.42484,0.00584,-0.00545,0.90522,-0.00012,0.00074,0.00014,-26.30032,0,1,
06.30 14:42:38:753,96048,0.17717,-0.05267,9.79707,-0.00065,0.00040,0.00063,-0.55235,9.76260,-30.10061,-0.28054,129.71754,-0.87150,0.42484,0.00584,-0.00545,0.90522,-0.00012,0.00074,0.00014,-26.30032,0,1,
