Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.23 16:36:05:084,24727,-0.00767,-0.04188,9.80928,0.00000,0.00000,9015246949711872.00000,0.20351,0.18365,-0.61384,-0.40028,54.50489,0.00637,-0.88899,0.00313,0.00155,-0.45791,0,1,
06.23 16:36:05:085,24728,-0.01792,-0.07712,9.77707,0.00000,0.00000,9015246949711872.00000,0.20202,0.17964,-0.61337,-0.40155,54.50468,0.00657,-0.88899,0.00314,0.00155,-0.45791,0,1,
06.23 16:36:05:085,24729,-0.03781,-0.04504,9.81421,0.00000,0.00000,9015246949711872.00000,0.20203,0.18017,-0.61486,-0.40061,54.50379,0.00608,-0.88900,0.00313,0.00155,-0.45790,0,1,
06.23 16:36:05:091,24730,0.00912,-0.05969,9.79026,0.00000,0.00000,0.00161,0.20203,0.18166,-0.61435,-0.39945,54.50389,0.00529,-0.88900,0.00312,0.00156,-0.45790,1,0,
06.23 16:36:05:101,24731,0.00701,-0.05322,9.79102,0.00000,0.00000,0.00161,0.20252,0.18215,-0.61385,-0.39994,54.50315,0.00577,-0.88900,0.00313,0.00155,-0.45790,1,0,
06.23 16:36:05:112,24732,0.04673,-0.03473,9.74205,0.00000,0.00000,0.00161,0.19954,0.18512,-0.61287,-0.39829,54.50157,0.00524,-0.88901,0.00311,0.00155,-0.45788,1,0,
06.23 16:36:05:122,24733,-0.00133,-0.07013,9.90806,0.00000,0.00000,0.00161,0.20053,0.18214,-0.61337,-0.39808,54.50185,0.00504,-0.88900,0.00311,0.00155,-0.45789,1,0,
06.23 16:36:05:131,24734,-0.09014,-0.04774,9.79061,0.00000,0.00000,0.00161,0.20302,0.18316,-0.61434,-0.39853,54.50301,0.00701,-0.88900,0.00312,0.00154,-0.45789,1,0,
06.23 16:36:05:142,24735,-0.05813,-0.06076,9.85708,0.00000,0.00000,0.00161,0.20203,0.17966,-0.61436,-0.39816,54.50231,0.00572,-0.88900,0.00311,0.00155,-0.45789,1,0,
06.23 16:36:05:150,24736,0.05053,-0.06138,9.71990,0.00000,0.00000,0.00161,0.20055,0.18169,-0.61586,-0.39665,54.50156,0.00168,-0.88901,0.00308,0.00157,-0.45788,1,0,
06.23 16:36:05:161,24737,-0.01849,-0.07949,9.86090,0.00000,0.00000,0.00161,0.20152,0.18111,-0.61187,-0.39683,54.50229,0.00222,-0.88900,0.00309,0.00157,-0.45789,1,0,
06.23 16:36:05:171,24738,-0.01381,-0.05039,9.75204,0.00000,0.00000,0.00161,0.20104,0.18268,-0.61535,-0.39717,54.50214,0.00191,-0.88900,0.00309,0.00157,-0.45789,1,0,
06.23 16:36:05:182,24739,0.06381,-0.01459,9.90624,0.00000,0.00000,0.00161,0.20203,0.18116,-0.61436,-0.39731,54.50163,-0.00011,-0.88901,0.00308,0.00159,-0.45788,1,0,
06.23 16:36:05:192,24740,0.03431,-0.02395,9.68185,0.00000,0.00000,0.00161,0.20102,0.18211,-0.61187,-0.39588,54.50201,0.00114,-0.88900,0.00308,0.00157,-0.45789,1,0,
06.23 16:36:05:202,24741,-0.05303,-0.06274,9.77450,0.00000,0.00000,0.00161,0.20352,0.18317,-0.61483,-0.39581,54.50348,0.00239,-0.88900,0.00308,0.00156,-0.45790,1,0,
06.23 16:36:05:212,24742,-0.05136,-0.06960,9.91883,0.00000,0.00000,0.00161,0.20203,0.18218,-0.61535,-0.39633,54.50338,0.00207,-0.88900,0.00308,0.00157,-0.45790,1,0,
06.23 16:36:05:220,24743,-0.02626,-0.06895,9.80539,0.00000,0.00000,0.00161,0.20499,0.18061,-0.61135,-0.39734,54.50328,0.00158,-0.88900,0.00309,0.00158,-0.45790,1,0,
06.23 16:36:05:230,24744,-0.00926,-0.05518,9.73420,0.00000,0.00000,0.00161,0.20351,0.18365,-0.61384,-0.39763,54.50390,0.00155,-0.88900,0.00309,0.00158,-0.45790,1,0,
06.23 16:36:05:240,24745,0.00009,-0.03411,9.92773,0.00000,0.00000,0.00161,0.20400,0.18011,-0.61136,-0.39781,54.50253,0.00090,-0.88900,0.00309,0.00158,-0.45789,1,0,
06.23 16:36:05:251,24746,0.04380,0.00190,9.80773,0.00000,0.00000,0.00161,0.20152,0.18164,-0.61336,-0.39627,54.50320,-0.00004,-0.88900,0.00307,0.00158,-0.45790,1,0,
