Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
06.30 14:32:40:165,54944,0.07343,0.19570,9.80332,0.00000,0.00000,0.00000,-0.06102,0.17626,-0.60951,1.14449,23.71836,-0.47177,0.97859,0.01062,-0.00198,0.20554,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:166,54945,0.08169,0.20793,9.79438,0.00000,0.00000,0.00000,-0.06051,0.17831,-0.61199,1.14379,23.71841,-0.47124,0.97859,0.01061,-0.00197,0.20554,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:166,54946,0.07321,0.19641,9.80191,0.00000,0.00000,0.00000,-0.06102,0.17628,-0.61051,1.14532,23.71803,-0.47061,0.97859,0.01063,-0.00197,0.20553,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:172,54947,0.06705,0.21592,9.79640,0.00027,0.00000,-133880376.00000,-0.06202,0.17475,-0.60903,1.14526,23.71781,-0.47014,0.97859,0.01062,-0.00196,0.20553,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:181,54948,0.07633,0.20915,9.79981,0.00027,0.00000,-133880376.00000,-0.06104,0.17719,-0.60602,1.14381,23.71859,-0.47080,0.97859,0.01061,-0.00197,0.20554,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:190,54949,0.07846,0.21320,9.79809,0.00027,0.00000,-133880376.00000,-0.06351,0.17671,-0.60754,1.14300,23.71972,-0.47027,0.97859,0.01060,-0.00197,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:201,54950,0.09246,0.19282,9.80107,0.00027,0.00000,-133880376.00000,-0.06151,0.17578,-0.61051,1.14414,23.71979,-0.47034,0.97859,0.01061,-0.00196,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:210,54951,0.07511,0.21994,9.78825,0.00027,0.00000,-133880376.00000,-0.06252,0.17323,-0.60804,1.14449,23.71979,-0.47026,0.97859,0.01062,-0.00196,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:221,54952,0.06919,0.20604,9.79111,0.00027,0.00000,-133880376.00000,-0.06152,0.17524,-0.60852,1.14553,23.72057,-0.46944,0.97859,0.01062,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:232,54953,0.07728,0.19484,9.80172,0.00027,0.00000,-133880376.00000,-0.06103,0.17775,-0.60901,1.14597,23.71943,-0.46882,0.97859,0.01063,-0.00195,0.20554,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:242,54954,0.09473,0.20760,9.79891,0.00027,0.00000,-133880376.00000,-0.06451,0.17372,-0.60756,1.14575,23.72031,-0.46866,0.97859,0.01063,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:252,54955,0.08576,0.20727,9.79111,0.00027,0.00000,-133880376.00000,-0.06301,0.17726,-0.60952,1.14502,23.72001,-0.46894,0.97859,0.01062,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:260,54956,0.07259,0.22162,9.79516,0.00027,0.00000,-133880376.00000,-0.06350,0.17325,-0.60904,1.14487,23.72028,-0.46890,0.97859,0.01062,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:271,54957,0.06661,0.20567,9.79528,0.00027,0.00000,-133880376.00000,-0.06151,0.17578,-0.61051,1.14537,23.71953,-0.46862,0.97859,0.01062,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:280,54958,0.08381,0.18903,9.80167,0.00027,0.00000,-133880376.00000,-0.06351,0.17774,-0.60903,1.14468,23.72025,-0.46896,0.97859,0.01062,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:291,54959,0.09367,0.21154,9.80499,0.00027,0.00000,-133880376.00000,-0.06299,0.17581,-0.61202,1.14357,23.71992,-0.46844,0.97859,0.01061,-0.00195,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
06.30 14:32:40:300,54960,0.06234,0.19107,9.79773,0.00027,0.00000,-133880376.00000,-0.06051,0.17381,-0.61151,1.14553,23.71996,-0.46799,0.97859,0.01062,-0.00194,0.20555,0.00000,0.00000,0.00000,0.00000,1,0,
