Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 16:35:36:651,2144227,0.12929,-0.31125,9.81144,-0.00852,-0.00852,0.00426,15.40222,-0.74768,-31.55212,-3.61857,37.03707,-0.75798,0.94779,-0.02784,-0.01630,0.31725,0,1,
06.29 16:35:36:652,2144228,0.12929,-0.31125,9.81144,-0.01065,-0.00746,0.00426,15.40222,-0.74768,-31.55212,-3.61857,37.03707,-0.75798,0.94779,-0.02784,-0.01630,0.31725,0,1,
06.29 16:35:36:652,2144229,0.13408,-0.31603,9.81623,-0.00959,-0.00746,0.00426,14.50500,-0.44861,-34.54285,-3.61813,37.03745,-0.75859,0.94779,-0.02783,-0.01630,0.31725,0,1,
06.29 16:35:36:653,2144230,0.13408,-0.31603,9.81623,-0.00959,-0.00746,0.00426,14.50500,-0.44861,-34.54285,-3.61813,37.03745,-0.75859,0.94779,-0.02783,-0.01630,0.31725,0,1,
06.29 16:35:36:653,2144233,0.13886,-0.31603,9.82102,-0.00852,-0.00746,0.00320,14.50500,-0.44861,-34.54285,-3.61813,37.03745,-0.75859,0.94779,-0.02783,-0.01630,0.31725,0,1,
06.29 16:35:36:654,2144234,0.13886,-0.31603,9.81623,-0.00852,-0.00746,0.00426,14.50500,-0.44861,-34.54285,-3.61813,37.03745,-0.75859,0.94779,-0.02783,-0.01630,0.31725,0,1,
06.29 16:35:36:654,2144235,0.13886,-0.31603,9.81623,-0.00852,-0.00746,0.00320,15.40222,-1.04675,-34.24377,-3.61708,37.03671,-0.75885,0.94779,-0.02782,-0.01630,0.31725,0,1,
06.29 16:35:36:655,2144236,0.13886,-0.31603,9.81623,-0.00959,-0.00746,0.00426,15.40222,-1.04675,-34.24377,-3.61708,37.03671,-0.75885,0.94779,-0.02782,-0.01630,0.31725,0,1,
06.29 16:35:36:655,2144237,0.13408,-0.31603,9.81623,-0.00959,-0.00746,0.00426,15.40222,-1.04675,-34.24377,-3.61708,37.03671,-0.75885,0.94779,-0.02782,-0.01630,0.31725,0,1,
06.29 16:35:36:655,2144238,0.13886,-0.31603,9.81623,-0.01065,-0.00746,0.00426,15.40222,-1.04675,-34.24377,-3.61708,37.03671,-0.75885,0.94779,-0.02782,-0.01630,0.31725,0,1,
06.29 16:35:36:655,2144239,0.13886,-0.31603,9.81623,-0.01065,-0.00639,0.00533,15.40222,-1.04675,-34.24377,-3.61708,37.03671,-0.75885,0.94779,-0.02782,-0.01630,0.31725,0,1,
06.29 16:35:36:656,2144240,0.13886,-0.31125,9.81623,-0.01172,-0.00639,0.00533,15.40222,-1.04675,-34.24377,-3.61708,37.03671,-0.75885,0.94779,-0.02782,-0.01630,0.31725,0,1,
