Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.04 10:12:31:514,1,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,1,0,
07.04 10:12:31:516,2,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,1,0,
07.04 10:12:31:517,3,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,1,0,
07.04 10:12:31:518,4,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,1,0,
07.04 10:12:31:518,5,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,1,0,
07.04 10:12:31:519,6,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.25269,-17.64526,-41.87012,0.00000,1,0,
07.04 10:12:31:519,10,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,1,0,
07.04 10:12:31:519,11,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,1,0,
07.04 10:12:31:520,12,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,1,0,
07.04 10:12:31:520,13,-169808919391109120.00000,0.00000,-inf,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.75732,-19.14063,-41.57104,0.00000,1,0,
