Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,debug0,debug1,debug2,debug3,Rest,Mag Disturbance,
07.10 14:18:39:670,7968,-0.01615,-0.02413,9.79033,0.00000,0.00000,-0.00000,-0.17184,0.35184,-0.68841,-0.28935,-36.52119,0.19671,0.94964,-0.00186,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:671,7969,-0.01736,-0.04359,9.80220,0.00000,0.00000,-0.00000,-0.17330,0.35094,-0.69340,-0.29010,-36.52046,0.19629,0.94964,-0.00187,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:671,7970,-0.02650,-0.04696,9.81274,0.00000,0.00000,-0.00000,-0.17235,0.34977,-0.68494,-0.28968,-36.52092,0.19591,0.94964,-0.00186,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:683,7971,-0.02206,-0.01139,9.80160,0.00000,0.00000,-0.00000,-0.17185,0.34928,-0.68544,-0.29197,-36.52089,0.19596,0.94964,-0.00188,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:684,7972,-0.03117,-0.02959,9.80773,0.00000,0.00000,-0.00000,-0.17184,0.34832,-0.68743,-0.29035,-36.52069,0.19547,0.94964,-0.00187,0.00241,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:684,7973,-0.03037,-0.03840,9.79998,0.00000,0.00000,-0.00000,-0.17032,0.35046,-0.69388,-0.29167,-36.52085,0.19565,0.94964,-0.00188,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:685,7974,-0.01569,-0.03315,9.79226,-0.00000,0.00000,-0.00000,-0.17135,0.34782,-0.68693,-0.29234,-36.52120,0.19492,0.94964,-0.00189,0.00241,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:685,7975,-0.02447,-0.04233,9.79350,-0.00000,0.00000,-0.00000,-0.17034,0.34887,-0.68941,-0.29227,-36.52088,0.19628,0.94964,-0.00189,0.00243,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:694,7976,-0.03243,-0.02697,9.79345,-0.00000,0.00000,-0.00000,-0.17035,0.34882,-0.68692,-0.29363,-36.51958,0.19523,0.94964,-0.00190,0.00242,-0.31332,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:705,7977,-0.02120,-0.03556,9.80494,-0.00000,0.00000,-0.00000,-0.17383,0.35079,-0.68644,-0.29320,-36.51990,0.19622,0.94964,-0.00189,0.00243,-0.31332,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:716,7978,-0.01706,-0.02861,9.79598,-0.00000,0.00000,-0.00000,-0.17035,0.34783,-0.68742,-0.29055,-36.52040,0.19576,0.94964,-0.00187,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:725,7979,-0.03161,-0.03286,9.78615,-0.00000,0.00000,-0.00000,-0.17233,0.34933,-0.68793,-0.29069,-36.52098,0.19580,0.94964,-0.00187,0.00242,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:735,7980,-0.03803,-0.02084,9.77709,-0.00000,0.00000,-0.00000,-0.17284,0.34928,-0.68544,-0.29038,-36.52062,0.19700,0.94964,-0.00187,0.00243,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:745,7981,-0.02564,-0.02308,9.79202,-0.00000,0.00000,-0.00000,-0.17086,0.34879,-0.68543,-0.29017,-36.52087,0.19710,0.94964,-0.00187,0.00243,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:755,7982,-0.01439,-0.03964,9.80244,-0.00000,0.00000,-0.00000,-0.17284,0.34880,-0.68644,-0.28932,-36.52129,0.19532,0.94964,-0.00186,0.00241,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:765,7983,-0.00881,-0.01931,9.80475,-0.00000,0.00000,-0.00000,-0.17133,0.34936,-0.68941,-0.28856,-36.52147,0.19536,0.94964,-0.00186,0.00241,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:775,7984,-0.04055,-0.04226,9.80310,-0.00000,0.00000,-0.00000,-0.17082,0.34943,-0.69239,-0.28838,-36.52170,0.19415,0.94964,-0.00186,0.00240,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:785,7985,-0.03342,-0.02070,9.80229,-0.00000,0.00000,-0.00000,-0.17233,0.35185,-0.68891,-0.28948,-36.52151,0.19315,0.94964,-0.00187,0.00239,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:796,7986,-0.03328,-0.03242,9.78396,-0.00000,0.00000,-0.00000,-0.17137,0.34874,-0.68344,-0.28954,-36.52146,0.19350,0.94964,-0.00187,0.00240,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:804,7987,-0.02285,-0.03250,9.80406,-0.00000,0.00000,-0.00000,-0.17185,0.35078,-0.68543,-0.28941,-36.52248,0.19352,0.94963,-0.00187,0.00240,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:815,7988,-0.00706,-0.02918,9.79688,-0.00000,0.00000,-0.00000,-0.17233,0.34783,-0.68793,-0.28951,-36.52258,0.19387,0.94963,-0.00187,0.00240,-0.31335,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:825,7989,-0.02705,-0.03486,9.79385,-0.00000,0.00000,-0.00000,-0.16886,0.34886,-0.68890,-0.29022,-36.52212,0.19345,0.94964,-0.00188,0.00240,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:835,7990,-0.03441,-0.02798,9.80124,-0.00000,0.00000,-0.00000,-0.17134,0.34784,-0.68792,-0.28882,-36.52253,0.19431,0.94963,-0.00186,0.00240,-0.31335,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:845,7991,-0.03370,-0.03378,9.78847,-0.00000,0.00000,-0.00000,-0.17330,0.34744,-0.69342,-0.28846,-36.52222,0.19410,0.94964,-0.00186,0.00240,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:856,7992,-0.01513,-0.03804,9.79128,-0.00000,0.00000,-0.00000,-0.17184,0.34982,-0.68742,-0.28906,-36.52192,0.19392,0.94964,-0.00187,0.00240,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:866,7993,-0.03510,-0.05563,9.79960,-0.00000,0.00000,-0.00000,-0.17086,0.35026,-0.68443,-0.28854,-36.52162,0.19363,0.94964,-0.00186,0.00239,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:876,7994,-0.03545,-0.02934,9.80270,-0.00000,0.00000,-0.00000,-0.17181,0.35093,-0.69289,-0.28744,-36.52179,0.19339,0.94964,-0.00185,0.00239,-0.31334,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:885,7995,-0.01898,-0.03490,9.79574,-0.00000,0.00000,-0.00000,-0.17035,0.35085,-0.68890,-0.28917,-36.52047,0.19319,0.94964,-0.00187,0.00239,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:895,7996,-0.03163,-0.03903,9.79092,-0.00000,0.00000,-0.00000,-0.17086,0.34729,-0.68543,-0.28895,-36.52037,0.19337,0.94964,-0.00187,0.00239,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:905,7997,-0.05162,-0.05547,9.79431,-0.00000,0.00000,-0.00000,-0.17334,0.34929,-0.68594,-0.28725,-36.52081,0.19354,0.94964,-0.00185,0.00239,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:915,7998,-0.04266,-0.02595,9.80575,-0.00000,0.00000,-0.00000,-0.17330,0.35095,-0.69390,-0.28708,-36.52078,0.19385,0.94964,-0.00185,0.00239,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
07.10 14:18:39:925,7999,-0.03272,-0.02949,9.78777,-0.00000,0.00000,-0.00000,-0.17332,0.34987,-0.68992,-0.28679,-36.52034,0.19331,0.94964,-0.00185,0.00239,-0.31333,0.00000,0.00000,0.00000,0.00000,1,0,
