Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 16:43:56:224,51495,0.05539,-0.07262,9.80935,0.00000,0.00000,140777720119296.00000,0.34818,-0.09155,-0.64203,-0.33716,101.85790,-0.35036,0.63028,0.00052,-0.00421,0.77635,1,0,
06.29 16:43:56:225,51496,0.05000,-0.05597,9.79815,0.00000,0.00000,140777720119296.00000,0.34867,-0.09006,-0.64152,-0.33668,101.85816,-0.34879,0.63028,0.00051,-0.00420,0.77635,1,0,
06.29 16:43:56:225,51497,0.07776,-0.07926,9.78727,0.00000,0.00000,140777720119296.00000,0.34917,-0.09056,-0.64152,-0.33784,101.85877,-0.34912,0.63028,0.00051,-0.00421,0.77636,1,0,
06.29 16:43:56:237,51498,0.04074,-0.05551,9.88267,0.00000,0.00000,-0.00000,0.34866,-0.09109,-0.64003,-0.33768,101.85793,-0.34873,0.63028,0.00051,-0.00421,0.77635,1,0,
06.29 16:43:56:242,51499,0.07164,-0.02987,9.74300,0.00000,0.00000,-0.00000,0.34818,-0.09055,-0.64203,-0.33778,101.85872,-0.34934,0.63028,0.00051,-0.00421,0.77636,1,0,
06.29 16:43:56:252,51500,0.08823,-0.06535,9.86454,0.00000,0.00000,-0.00000,0.34768,-0.08907,-0.64153,-0.33938,101.85840,-0.34902,0.63028,0.00050,-0.00422,0.77636,1,0,
06.29 16:43:56:262,51501,0.07116,-0.07180,9.67603,0.00000,0.00000,-0.00000,0.34767,-0.09158,-0.64054,-0.33873,101.85853,-0.35011,0.63028,0.00051,-0.00422,0.77636,1,0,
06.29 16:43:56:272,51502,0.05361,-0.03880,9.87778,0.00000,0.00000,-0.00000,0.34866,-0.09208,-0.64054,-0.33594,101.85780,-0.34914,0.63029,0.00052,-0.00420,0.77635,1,0,
06.29 16:43:56:283,51503,0.06014,-0.04658,9.79974,0.00000,0.00000,-0.00000,0.34818,-0.08903,-0.64351,-0.33510,101.85717,-0.34911,0.63029,0.00052,-0.00419,0.77635,1,0,
06.29 16:43:56:293,51504,0.07320,-0.06828,9.79385,0.00000,0.00000,-0.00000,0.34371,-0.09055,-0.64306,-0.33477,101.85622,-0.34973,0.63030,0.00053,-0.00419,0.77634,1,0,
