Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.29 16:44:05:946,37.01645,-1.62083,-0.81000,101.87373,-0.33429,-0.36042,64.85825,1.28606,0.44938,-0.00097,0.00047,0.00020,
06.29 16:44:05:997,37.01642,-1.61864,-0.80991,101.87360,-0.33271,-0.36257,64.85825,1.28606,0.44938,-0.00108,-0.00014,-0.00204,
06.29 16:44:06:031,37.02098,-1.61715,-0.80865,101.87343,-0.33263,-0.36169,64.85825,1.28606,0.44938,-0.00581,-0.00154,-0.00242,
06.29 16:44:06:083,37.02379,-1.61821,-0.80863,101.87213,-0.33233,-0.36216,64.85825,1.28606,0.44938,-0.00991,-0.00018,-0.00290,
06.29 16:44:06:130,37.02279,-1.61810,-0.81154,101.87062,-0.33381,-0.36498,64.85825,1.28606,0.44938,-0.01041,-0.00177,-0.00282,
06.29 16:44:06:178,37.02261,-1.61731,-0.81231,101.87027,-0.33063,-0.36489,64.85825,1.28606,0.44938,-0.01060,0.00061,-0.00196,
06.29 16:44:06:231,37.01789,-1.61782,-0.81409,101.87087,-0.33424,-0.36568,64.85825,1.28606,0.44938,-0.00527,-0.00249,-0.00097,
06.29 16:44:06:264,37.01661,-1.61894,-0.81285,101.87086,-0.33579,-0.36505,64.85825,1.28606,0.44938,-0.00401,-0.00291,-0.00157,
06.29 16:44:06:296,37.01905,-1.61772,-0.80944,101.87027,-0.33446,-0.36589,64.85825,1.28606,0.44938,-0.00703,-0.00280,-0.00583,
06.29 16:44:06:329,37.02076,-1.61644,-0.80987,101.87057,-0.33719,-0.36585,64.85825,1.28606,0.44938,-0.00845,-0.00682,-0.00535,
06.29 16:44:06:364,37.02220,-1.61652,-0.81331,101.87102,-0.33729,-0.36694,64.85825,1.28606,0.44938,-0.00944,-0.00683,-0.00301,
06.29 16:44:06:397,37.02177,-1.61621,-0.81299,101.87109,-0.33625,-0.36543,64.85825,1.28606,0.44938,-0.00893,-0.00610,-0.00181,
06.29 16:44:06:429,37.01958,-1.61599,-0.81163,101.87123,-0.33890,-0.36652,64.85825,1.28606,0.44938,-0.00661,-0.00898,-0.00426,
06.29 16:44:06:465,37.01968,-1.61627,-0.81084,101.87166,-0.33713,-0.36506,64.85825,1.28606,0.44938,-0.00627,-0.00693,-0.00360,
06.29 16:44:06:498,37.02107,-1.61697,-0.80924,101.87279,-0.33774,-0.36747,64.85825,1.28606,0.44938,-0.00654,-0.00684,-0.00760,
06.29 16:44:06:531,37.02263,-1.61783,-0.80943,101.87236,-0.33753,-0.36543,64.85825,1.28606,0.44938,-0.00852,-0.00576,-0.00538,
06.29 16:44:06:564,37.02355,-1.61941,-0.81093,101.87123,-0.33668,-0.36416,64.85825,1.28606,0.44938,-0.01057,-0.00333,-0.00261,
