Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 17:04:08:176,41616,0.05201,-0.06827,9.77345,0.00000,0.00000,162330980637426346277188182999040.00000,0.37617,-0.15713,-0.58132,-0.54338,115.43800,-0.20510,0.53407,-0.00102,-0.00496,0.84542,1,1,
06.29 17:04:08:176,41617,0.04099,-0.09810,9.81333,0.00000,0.00000,162330980637426346277188182999040.00000,0.37717,-0.15561,-0.58230,-0.54466,115.43700,-0.20551,0.53408,-0.00102,-0.00498,0.84542,1,1,
06.29 17:04:08:177,41618,0.04444,-0.07965,9.80075,0.00000,0.00000,162330980637426346277188182999040.00000,0.37864,-0.15414,-0.58029,-0.54438,115.43723,-0.20468,0.53408,-0.00103,-0.00497,0.84542,1,1,
06.29 17:04:08:189,41619,0.00425,-0.08078,9.80520,0.00000,0.00000,-0.00000,0.37815,-0.15514,-0.58030,-0.54552,115.43705,-0.20423,0.53408,-0.00104,-0.00498,0.84542,1,0,
06.29 17:04:08:190,41620,0.03070,-0.07968,9.79054,0.00000,0.00000,-0.00000,0.37617,-0.15562,-0.58181,-0.54554,115.43831,-0.20464,0.53407,-0.00103,-0.00498,0.84542,1,0,
06.29 17:04:08:195,41621,0.04934,-0.08489,9.78756,0.00000,0.00000,-0.00000,0.37815,-0.15513,-0.58080,-0.54592,115.43697,-0.20723,0.53408,-0.00102,-0.00499,0.84542,1,0,
06.29 17:04:08:206,41622,0.06665,-0.09547,9.78606,0.00000,0.00000,-0.00000,0.37915,-0.15358,-0.58327,-0.54738,115.43824,-0.20757,0.53407,-0.00102,-0.00501,0.84542,1,0,
06.29 17:04:08:216,41623,0.04065,-0.07697,9.78889,0.00000,0.00000,-0.00000,0.37914,-0.15514,-0.58029,-0.54686,115.43383,-0.20625,0.53410,-0.00103,-0.00500,0.84540,1,0,
06.29 17:04:08:225,41624,0.04312,-0.05998,9.79183,0.00000,0.00000,-0.00000,0.37716,-0.15361,-0.58229,-0.54535,115.43197,-0.20651,0.53412,-0.00102,-0.00499,0.84540,1,0,
06.29 17:04:08:235,41625,0.02365,-0.09628,9.80375,0.00000,0.00000,-0.00000,0.37865,-0.15512,-0.58129,-0.54577,115.43102,-0.20554,0.53412,-0.00103,-0.00498,0.84539,1,0,
06.29 17:04:08:245,41626,0.03365,-0.08596,9.79209,0.00000,0.00000,-0.00000,0.37667,-0.15462,-0.58180,-0.54493,115.43192,-0.20508,0.53412,-0.00103,-0.00498,0.84540,1,0,
06.29 17:04:08:255,41627,0.02222,-0.08375,9.80763,0.00000,0.00000,-0.00000,0.37667,-0.15559,-0.58330,-0.54484,115.43149,-0.20408,0.53412,-0.00103,-0.00497,0.84539,1,0,
06.29 17:04:08:266,41628,0.03745,-0.07137,9.80065,0.00000,0.00000,-0.00000,0.37963,-0.15315,-0.57978,-0.54599,115.43021,-0.20286,0.53413,-0.00105,-0.00497,0.84539,1,0,
06.29 17:04:08:276,41629,0.02994,-0.07940,9.78794,0.00000,0.00000,-0.00000,0.37864,-0.15565,-0.57980,-0.54603,115.42854,-0.20316,0.53414,-0.00105,-0.00498,0.84538,1,0,
06.29 17:04:08:287,41630,0.03923,-0.06609,9.80373,0.00000,0.00000,-0.00000,0.37765,-0.15366,-0.57980,-0.54476,115.42348,-0.20370,0.53418,-0.00104,-0.00497,0.84536,1,0,
06.29 17:04:08:296,41631,0.04501,-0.08739,9.78611,0.00000,0.00000,-0.00000,0.37815,-0.15612,-0.58130,-0.54556,115.42300,-0.20333,0.53418,-0.00104,-0.00497,0.84535,1,0,
06.29 17:04:08:305,41632,0.02058,-0.10350,9.80077,0.00000,0.00000,-0.00000,0.37518,-0.15610,-0.58282,-0.54666,115.42345,-0.20310,0.53418,-0.00105,-0.00498,0.84536,1,0,
06.29 17:04:08:315,41633,0.03175,-0.08906,9.80880,0.00000,0.00000,-0.00000,0.37765,-0.15465,-0.58030,-0.54487,115.42335,-0.20279,0.53418,-0.00104,-0.00496,0.84536,1,0,
06.29 17:04:08:325,41634,0.02990,-0.07478,9.79569,0.00000,0.00000,-0.00000,0.37717,-0.15459,-0.58329,-0.54423,115.42273,-0.20263,0.53418,-0.00104,-0.00496,0.84535,1,0,
06.29 17:04:08:335,41635,0.03443,-0.10094,9.80170,0.00000,0.00000,-0.00000,0.37914,-0.15665,-0.57980,-0.54382,115.42062,-0.20349,0.53420,-0.00103,-0.00496,0.84534,1,0,
06.29 17:04:08:347,41636,0.04093,-0.08453,9.78711,0.00000,0.00000,-0.00000,0.37668,-0.15307,-0.58429,-0.54333,115.42198,-0.20389,0.53419,-0.00103,-0.00496,0.84535,1,0,
06.29 17:04:08:356,41637,0.03801,-0.08061,9.79912,0.00000,0.00000,-0.00000,0.37767,-0.15409,-0.58329,-0.54291,115.42435,-0.20400,0.53417,-0.00103,-0.00496,0.84536,1,0,
06.29 17:04:08:366,41638,0.03320,-0.09910,9.80346,0.00000,0.00000,-0.00000,0.38014,-0.15460,-0.58227,-0.54373,115.42382,-0.20404,0.53418,-0.00103,-0.00496,0.84536,1,0,
06.29 17:04:08:376,41639,0.03700,-0.07209,9.79826,0.00000,0.00000,-0.00000,0.37915,-0.15458,-0.58328,-0.54486,115.42567,-0.20359,0.53416,-0.00104,-0.00497,0.84537,1,0,
06.29 17:04:08:385,41640,0.03959,-0.09066,9.78692,0.00000,0.00000,-0.00000,0.37863,-0.15367,-0.57880,-0.54566,115.42510,-0.20279,0.53417,-0.00105,-0.00497,0.84536,1,0,
06.29 17:04:08:395,41641,0.02307,-0.08342,9.79054,0.00000,0.00000,-0.00000,0.37716,-0.15113,-0.58129,-0.54490,115.42432,-0.20261,0.53417,-0.00105,-0.00496,0.84536,1,0,
06.29 17:04:08:405,41642,0.04998,-0.08674,9.80563,0.00000,0.00000,-0.00000,0.37915,-0.15308,-0.58327,-0.54440,115.41849,-0.20366,0.53422,-0.00104,-0.00497,0.84533,1,0,
06.29 17:04:08:415,41643,0.05186,-0.08510,9.79919,0.00000,0.00000,-0.00000,0.37617,-0.15460,-0.58280,-0.54510,115.42033,-0.20277,0.53420,-0.00105,-0.00497,0.84534,1,0,
06.29 17:04:08:426,41644,0.02421,-0.08936,9.78766,0.00000,0.00000,-0.00000,0.37866,-0.15259,-0.58327,-0.54436,115.42002,-0.20326,0.53420,-0.00104,-0.00496,0.84534,1,0,
06.29 17:04:08:437,41645,0.03878,-0.08607,9.79993,0.00000,0.00000,-0.00000,0.37865,-0.15461,-0.58179,-0.54502,115.41289,-0.20349,0.53426,-0.00104,-0.00497,0.84531,1,0,
